"Species"	"Body"	"Brain"
"Thylamys_elegans"	3.2188758248682	-0.342490308946776
"Metachirus_nudicaudatus"	5.7037824746562	1.25276296849537
"Philander_opossum"	6.10924758276437	1.34286480319255
"Didelphis_virginiana"	7.54960916515453	1.90508815453506
"Didelphis_marsupialis"	7.39018142822643	1.8484548129046
"Didelphis_aurita"	7.0475172213573	1.79674701073909
"Monodelphis_brevicaudata"	4.24849524204936	-0.105360515657826
"Micoureus_demerarae"	4.60517018598809	0.336472236621213
"Marmosa_murina"	3.80666248977032	0.0953101798043249
"Marmosa_rubra"	4.11087386417331	0.182321556793955
"Marmosa_robinsoni"	4.0943445622221	-0.356674943938732
"Marmosa_mexicana"	3.90197266957464	0
"Caluromys_derbianus"	5.76205138278018	1.22377543162212
"Caluromys_lanatus"	6.03548143252476	1.51292701205326
"Caluromys_philander"	5.23909800688807	1.25276296849537
"Lestoros_inca"	3.25037449192757	-0.23572233352107
"Rhyncholestes_raphanurus"	3.15700042115011	-0.430782916092454
"Caenolestes_fuliginosus"	3.55534806148941	-0.385662480811985
"Fossil_Thylacosmilus_atrox"	9.27645577418304	3.80666248977032
"Eupleres_goudotii"	8.00636756765025	2.83026783382646
"Fossa_fossana"	7.3132203870903	2.98011089265103
"Cryptoprocta_ferox"	9.15904707758863	3.47010136030937
"Galidia_elegans"	6.68461172766793	2.37024374146786
"Salanoia_concolor"	6.47697236288968	2.39971180372477
"Suricata_suricatta"	6.59304453414244	2.33020026002702
"Crossarchus_obscurus"	7.13089883029635	2.28033948404673
"Helogale_parvula"	5.7037824746562	1.56024766824333
"Mungos_mungo"	7.56527528189893	2.35042242240821
"Herpestes_urva"	7.52833176670725	3.04022751344054
"Herpestes_brachyurus"	7.27931883541462	2.52972066557779
"Herpestes_javanicus"	6.26720054854136	2.00417905717929
"Herpestes_edwardsii"	7.18538701558042	2.35042242240821
"Herpestes_smithii"	7.48436864328613	2.6203112867942
"Herpestes_vitticollis"	7.85554467791566	3.24998681989325
"Herpestes_naso"	8.00636756765025	3.23985423125339
"Atilax_paludinosus"	8.10167774745457	3.3499040872746
"Ichneumia_albicauda"	8.1605182474775	3.19006474301408
"Cynictis_penicillata"	6.73340189183736	2.35042242240821
"Paracynictis_selousi"	7.40245152081824	2.76000994003292
"Rhynchogale_melleri"	7.90838715929004	2.83026783382646
"Bdeogale_crassicauda"	7.34601020991329	2.83026783382646
"Herpestes_ichneumon"	8.55256033525353	3.15016862685841
"Proteles_cristata"	9.21034037197618	3.55990907281698
"Hyaena_hyaena"	10.638496187191	4.57995493684703
"Hyaena_brunnea"	10.5789797978574	4.72862598991501
"Crocuta_crocuta"	11.0508900053737	4.97002161121096
"Fossil_Thalassictis_hipparionum"	9.85008677580901	4.35195395041759
"Fossil_Hyaenictitherium_hyaenoides"	10.0501819316869	4.5107496103686
"Fossil_Ictitherium_viverrinum"	9.7981270368783	4.1159429617746
"Hemigalus_derbyanus"	7.65917136766606	2.94021956362373
"Chrotogale_owstoni"	7.58069975222456	3.11351530921037
"Cynogale_bennettii"	8.41183267575841	3.39986315864902
"Arctogalidia_trivirgata"	7.71868549519847	3.09013294897548
"Paradoxurus_zeylonensis"	7.93020620668468	2.87976009730157
"Paradoxurus_hermaphroditus"	8.06306291132679	2.91343703082716
"Paguma_larvata"	8.36637030168165	3.43010872515658
"Arctictis_binturong"	9.19826779074191	3.70990682130601
"Viverra_tangalunga"	9.0687768076544	3.18013499655177
"Viverra_zibetha"	9.15904707758863	3.61010677294854
"Viverra_megaspila"	9.13237883050647	3.60004824040732
"Civettictis_civetta"	9.39266192877014	3.61010677294854
"Viverricula_indica"	7.97590836016554	2.82018770103906
"Genetta_tigrina"	7.70975686445416	2.71997877196748
"Genetta_angolensis"	7.40853056689463	2.74019465442878
"Genetta_genetta"	7.60090245954208	2.63977136034892
"Genetta_servalina"	6.96602418710611	2.71004820376488
"Prionodon_pardicolor"	6.23441072571837	2.20055236742889
"Prionodon_linsang"	6.5510803350434	2.14006616349627
"Prionailurus_rubiginosus"	7.92660259918138	2.94021956362373
"Prionailurus_viverrinus"	9.1204156644482	3.84009726585656
"Prionailurus_bengalensis"	8.10167774745457	3.37997374521053
"Prionailurus_planiceps"	7.3132203870903	3.16420842352589
"Otocolobus_manul"	8.00636756765025	3.54008938052877
"Felis_chaus"	8.90788301394225	3.66995144422842
"Felis_silvestris"	8.61794309451638	3.62006513811358
"Felis_nigripes"	7.17011954344963	3.00022217882684
"Puma_yagouaroundi"	8.91731069319781	3.68987895444702
"Puma_concolor"	10.8512769514697	4.82999232768086
"Acinonyx_jubatus"	10.8197782844103	4.70998055034044
"Lynx_rufus"	9.09380655572023	4.05992563535164
"Lynx_canadensis"	9.17810846015857	4.19975507662997
"Lynx_lynx"	9.79534539391642	4.25006543721888
"Leopardus_pardalis"	9.38429367909962	4.14993693564581
"Leopardus_geoffroyi"	8.29404964010203	3.50645789231965
"Leptailurus_serval"	9.39266192877014	4.03953632572711
"Caracal_caracal"	9.52879410309472	4.01005674569951
"Caracal_aurata"	9.27331517113757	4.05992563535164
"Panthera_tigris"	11.9988024433723	5.62999240068545
"Panthera_pardus"	10.8597679326264	4.82999232768086
"Panthera_leo"	11.9922604216448	5.40999290043863
"Panthera_onca"	11.5129254649702	5.01999138902028
"Neofelis_nebulosa"	9.88735817060624	4.22989474904298
"Fossil_Smilodon_fatalis"	12.326518798606	5.84617862561486
"Fossil_Homotherium_hadarensis"	11.5756185343087	5.35427227869248
"Fossil_Homotherium_serus"	11.9183905730784	5.80600808161854
"Fossil_Paleoprionodon_lamandini"	7.58578882173203	2.18829594659192
"Fossil_Stenogale_julieni"	7.6685611080159	2.32532457996354
"Fossil_Herpestides_antiquus"	8.29404964010203	3.2722270003652
"Nandinia_binotata"	7.60090245954208	2.8501282996952
"Urocyon_cinereoargenteus"	8.25062008217469	3.70990682130601
"Urocyon_littoralis"	7.54960916515453	3.31998732623661
"Alopex_lagopus"	8.06777619577889	3.57009591812397
"Vulpes_velox"	7.69621263934641	3.47010136030937
"Vulpes_rueppellii"	8.08641027532378	3.19006474301408
"Vulpes_vulpes"	8.98719682066197	3.76999850539873
"Vulpes_corsac"	7.86914556356578	3.57627050973128
"Vulpes_bengalensis"	7.91205688817901	3.25037449192757
"Vulpes_zerda"	6.72743172485086	2.94706710157271
"Vulpes_chama"	7.99294454731811	3.51154543883102
"Vulpes_pallida"	7.9373746961633	3.22007510544368
"Nyctereutes_procyonoides"	8.3039999709552	3.3499040872746
"Otocyon_megalotis"	8.33086361322474	3.28989331210348
"Cerdocyon_thous"	8.56407677731509	3.73289633953071
"Atelocynus_microtis"	8.95544812234739	4.13003340463061
"Chrysocyon_brachyurus"	10.0540604110155	4.78998862298063
"Speothos_venaticus"	8.69951474821019	3.7000666435045
"Canis_adustus"	9.23503298456655	3.9500892062346
"Canis_mesomelas"	9.04782144247841	3.94002720183774
"Canis_lupus"	10.3791004205464	4.87976701889122
"Canis_latrans"	9.50375597627572	4.47994704123401
"Canis_aureus"	9.24474179869351	4.27999390910873
"Canis_simensis"	9.21034037197618	4.39036675894888
"Cuon_alpinus"	9.45407055689878	4.55387689160054
"Lycaon_pictus"	10.001067880875	4.8599674311041
"Fossil_Tomarctus_brevirostris"	9.8725127482367	3.93769075217672
"Fossil_Epicyon_haydeni"	11.1824750606675	4.87725627081532
"Fossil_Borophagus_littoralis"	10.3747404011823	4.84434455437483
"Fossil_Aelurodon_ferox"	10.4843055481222	4.90082042808905
