genus species body_mass metabolic_rate mass_specific_metabolic_rate brain_size common_name maximum_longevity_yrs data_quality body_mass_AnAge metabolic_rate_AnAge
Spilogale arizonae NA NA NA 0.006 NA NA NA NA NA
Felis silestris 1.542 NA NA 0.018 NA NA NA NA NA
Felis silestris 2.885 NA NA 0.02346 NA NA NA NA NA
Felis silestris 3.778 NA NA 0.02837 NA NA NA NA NA
Felis silestris 5.012 NA NA 0.02823 NA NA NA NA NA
Genetta tigrina 1.302 NA NA 0.01589 "Large-spotted genet" 21.3 acceptable 1699 4.189
Genetta tigrina 1.525 NA NA 0.01535 "Large-spotted genet" 21.3 acceptable 1699 4.189
Bassariscus astutus NA NA NA 0.0171 Ringtail 19 acceptable NA NA
Felis silvestris 2.7 NA NA 0.02848 "Wild cat" 19 acceptable NA NA
Acinonyx jubatus 22.2 NA NA NA Cheetah 20.5 high 38446.1 61.77
Acinonyx jubatus 40.82 NA NA NA Cheetah 20.5 high 38446.1 61.77
Nasua narica NA NA NA 0.0233 "White-nosed coati" 26.4 acceptable 3670 6.733
Nasua narica 6.25 NA NA 0.04417 "White-nosed coati" 26.4 acceptable 3670 6.733
Canis latrans 8.51 NA NA 0.08424 Coyote 21.8 acceptable 10148.9 19.423
Canis latrans NA NA NA 0.08 Coyote 21.8 acceptable 10148.9 19.423
Canis familiaris 14.56 NA NA 0.07999 "Domestic dog" 24 acceptable NA NA
Canis familiaris 12.47 NA NA 0.08114 "Domestic dog" 24 acceptable NA NA
Canis familiaris 24.49 NA NA 0.1059 "Domestic dog" 24 acceptable NA NA
Canis familiaris 31.75 NA NA 0.1307 "Domestic dog" 24 acceptable NA NA
Canis familiaris 26.94 NA NA 0.0793 "Domestic dog" 24 acceptable NA NA
Canis familiaris 14.75 NA NA 0.06653 "Domestic dog" 24 acceptable NA NA
Canis familiaris 11.26 NA NA 0.0876 "Domestic dog" 24 acceptable NA NA
Canis familiaris 23.71 NA NA 0.08463 "Domestic dog" 24 acceptable NA NA
Canis familiaris 19.28 NA NA 0.09 "Domestic dog" 24 acceptable NA NA
Canis familiaris 38.42 NA NA 0.0952 "Domestic dog" 24 acceptable NA NA
Otocyon megalotis 3.335 NA NA 0.02609 "Bat-eared fox" 17 acceptable NA NA
Urocyon cinereoargenteus NA NA NA 0.032 "Gray fox" 16.2 acceptable NA NA
Urocyon cinereoargenteus 3.749 NA NA 0.03728 "Gray fox" 16.2 acceptable NA NA
Urocyon cinereoargenteus NA NA NA 0.0352 "Gray fox" 16.2 acceptable NA NA
Vulpes fulva 4.625 NA NA 0.0533 NA NA NA NA NA
Vulpes lagopus 3.385 NA NA 0.0445 "Arctic fox" 16.3 acceptable 3600 7.665
Crocuta crocuta 62.37 NA NA 0.175 "Spotted hyena" 41.1 acceptable NA NA
Canis mesomelas 2.85 NA NA 0.046 "Black-backed jackal" 16.7 acceptable 7720 21.533
Panthera onca 34.47 NA NA 0.147 Jaguar 28 high 50400 62.419
Potos flavus 2.62 NA NA 0.03105 Kinkajou 38.4 acceptable 2318 4.294
Panthera pardus 48 NA NA 0.135 Leopard 27.3 high NA NA
Puma concolor 28.79 NA NA 0.1067 Cougar 23.8 acceptable 37200 49.326
Ichneumia albicauda 4.4 NA NA 0.0283 "White-tailed mongoose" 14.8 acceptable NA NA
Procyon lotor 5.175 NA NA 0.04 "Common raccoon" 21 acceptable 4842.2 10.428
Procyon lotor 2.226 NA NA 0.03355 "Common raccoon" 21 acceptable 4842.2 10.428
Procyon lotor 4.536 NA NA 0.0405 "Common raccoon" 21 acceptable 4842.2 10.428
Procyon lotor 5.216 NA NA 0.0427 "Common raccoon" 21 acceptable 4842.2 10.428
Mephitis mephitis 1.7 NA NA 0.0103 "Striped skunk" 13.9 acceptable NA NA
Mephitis mephitis 2.26 NA NA 0.01 "Striped skunk" 13.9 acceptable NA NA
Conepatus mesoleucus NA NA NA 0.0155 NA NA NA NA NA
Conepatus mesoleucus NA NA NA 0.016 NA NA NA NA NA
Leptailurus serval 9.955 NA NA 0.06674 Serval 22.4 high 1012 1.44
Leptailurus serval 5.819 NA NA 0.05316 Serval 22.4 high 1012 1.44
Panthera tigris 160 NA NA 0.225 Tiger 26.3 high 137900 133.859
Panthera tigris 209 NA NA 0.302 Tiger 26.3 high 137900 133.859
Mustela arctica 0.1693 NA NA 0.00564 NA NA NA NA NA
Mustela arctica 0.121 NA NA 0.00347 NA NA NA NA NA
Canis lupus 22.68 NA NA 0.119 "Gray wolf" 20.6 high NA NA
Canis lubilus 29.94 NA NA 0.152 NA NA NA NA NA
Desmodus rotundus 0.028 NA NA 9.36e-4 "Vampire bat" 29.2 acceptable 29.4 0.194
Tamanduas tetradactyla 3.692 NA NA 0.025 NA NA NA NA NA
Dasypus novemcinctus 2.086 NA NA 0.0095 "Nine-banded armadillo" 22.3 acceptable 3413.7 4.655
Dasypus novemcinctus 3.401 NA NA 0.0075 "Nine-banded armadillo" 22.3 acceptable 3413.7 4.655
Bradypus griseus 0.676 NA NA 0.015 NA NA NA NA NA
Bradypus griseus 1.115 NA NA 0.014 NA NA NA NA NA
Bradypus griseus 1.601 NA NA 0.013 NA NA NA NA NA
Bradypus griseus 2.005 NA NA NA NA NA NA NA NA
Bradypus griseus 2.894 NA NA 0.015 NA NA NA NA NA
Bradypus griseus 3.121 NA NA 0.0151 NA NA NA NA NA
Bradypus griseus 3.774 NA NA 0.018 NA NA NA NA NA
Choloepus hoffmanni 4.825 NA NA 0.02307 "Hoffmann's two-toed sloth" 41 acceptable 4005.2 3.891
Choloepus hoffmanni 5.271 NA NA 0.026 "Hoffmann's two-toed sloth" 41 acceptable 4005.2 3.891
Scalopus aquaticus 0.0396 NA NA 0.00116 "Eastern mole" NA low 48 0.378
Blarina brevicauda 0.0163 NA NA 3.443e-4 "Northern short-tailed shrew" 2.2 acceptable 20.9 0.344
Blarina brevicauda 0.0188 NA NA 3.52e-4 "Northern short-tailed shrew" 2.2 acceptable 20.9 0.344
Didelphis marsupialis 1.147 NA NA 0.0048 "Southern opossum" 4.2 acceptable 1244.3 3.31
Papio cynocephalus 19.51 NA NA 0.175 NA NA NA NA NA
Cercopithecus mitis 1.22 NA NA 0.0503 "Blue monkey" 37.8 acceptable 8648.7 19.276
Cercopithecus mitis 2.9 NA NA 0.06146 "Blue monkey" 37.8 acceptable 8648.7 19.276
Cercopithecus mitis 4.55 NA NA 0.0666 "Blue monkey" 37.8 acceptable 8648.7 19.276
Alouatta palliata 6.174 NA NA 0.05034 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 4.309 NA NA 0.05425 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 6.577 NA NA 0.05405 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.938 NA NA 0.05345 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 3.119 NA NA 0.0423 "Mantled howler monkey" 24 acceptable 4670 11.464
Lagothrix lagothricha 5.26 NA NA 0.0862 "Humboldt's woolly monkey" 32 acceptable NA NA
Galago senegalensis 0.2 NA NA 0.005 "Senegal galago" 17.1 acceptable 171.5 0.764
Lemur catta 1.725 NA NA 0.0218 "Ring-tailed lemur" 37.3 high NA NA
Macacus mulatta 3.627 NA NA 0.0931 NA NA NA NA NA
Macacus mulatta 3.292 NA NA 0.0917 NA NA NA NA NA
Macacus mulatta 9.163 NA NA 0.109 NA NA NA NA NA
Macacus mulatta 8.89 NA NA 0.118 NA NA NA NA NA
Ateles dariensis 8.89 NA NA 0.1184 NA NA NA NA NA
Cercopithecus sp. 4.937 NA NA 0.0607 NA NA NA NA NA
Cercopithecus aethiops 3.955 NA NA 0.06089 NA NA NA NA NA
Cebus capucinus 2.718 NA NA 0.0716 "White-faced capuchin" 54 acceptable NA NA
Cebus capucinus 3.833 NA NA 0.0733 "White-faced capuchin" 54 acceptable NA NA
Cebus capucinus 3.101 NA NA 0.07218 "White-faced capuchin" 54 acceptable NA NA
Saimiri oerstedii 0.607 NA NA 0.0199 "Central American squirrel monkey" NA low NA NA
Saimiri oerstedii 0.907 NA NA 0.0253 "Central American squirrel monkey" NA low NA NA
Saimiri oerstedii 0.603 NA NA 0.025 "Central American squirrel monkey" NA low NA NA
Pan troglodytes 25.85 NA NA 0.4305 Chimpanzee 59.4 acceptable NA NA
Pan troglodytes 56.69 NA NA 0.44 Chimpanzee 59.4 acceptable NA NA
Pan troglodytes 43.99 NA NA 0.325 Chimpanzee 59.4 acceptable NA NA
Gorilla gorilla 181 NA NA NA Gorilla 60.1 acceptable NA NA
Homo sapiens 57.2 NA NA 1.248 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.297 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.268 Human 122.5 high 70000 82.78
Homo sapiens 95 NA NA 1.235 Human 122.5 high 70000 82.78
Homo sapiens 42 NA NA 1.27 Human 122.5 high 70000 82.78
Homo sapiens 43.4 NA NA 1.375 Human 122.5 high 70000 82.78
Homo sapiens 49.9 NA NA 1.4 Human 122.5 high 70000 82.78
Homo sapiens 36.3 NA NA 1.28 Human 122.5 high 70000 82.78
Homo sapiens 45 NA NA 1.19 Human 122.5 high 70000 82.78
Homo sapiens 37 NA NA 1.1 Human 122.5 high 70000 82.78
Homo sapiens 45.8 NA NA 1 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.109 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.513 Human 122.5 high 70000 82.78
Homo sapiens 76.2 NA NA 1.348 Human 122.5 high 70000 82.78
Homo sapiens 86.2 NA NA 1.265 Human 122.5 high 70000 82.78
Homo sapiens 71.2 NA NA 1.28 Human 122.5 high 70000 82.78
Homo sapiens 73 NA NA 1.365 Human 122.5 high 70000 82.78
Homo sapiens 78.5 NA NA 1.54 Human 122.5 high 70000 82.78
Homo sapiens 36 NA NA 1.327 Human 122.5 high 70000 82.78
Homo sapiens 61 NA NA 1.2 Human 122.5 high 70000 82.78
Homo sapiens 46 NA NA 1.16 Human 122.5 high 70000 82.78
Homo sapiens 43 NA NA 1.24 Human 122.5 high 70000 82.78
Homo sapiens 63 NA NA 1.18 Human 122.5 high 70000 82.78
Homo sapiens 43 NA NA 1.35 Human 122.5 high 70000 82.78
Homo sapiens 44 NA NA 1.3 Human 122.5 high 70000 82.78
Homo sapiens 45 NA NA 1.14 Human 122.5 high 70000 82.78
Homo sapiens 51 NA NA 1.5 Human 122.5 high 70000 82.78
Homo sapiens 83 NA NA 1.42 Human 122.5 high 70000 82.78
Homo sapiens 56 NA NA 1.57 Human 122.5 high 70000 82.78
Homo sapiens 61 NA NA 1.49 Human 122.5 high 70000 82.78
Homo sapiens 51 NA NA 1.31 Human 122.5 high 70000 82.78
Homo sapiens 81.6 NA NA 1.35 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.45 Human 122.5 high 70000 82.78
Homo sapiens 79.4 NA NA 1.274 Human 122.5 high 70000 82.78
Homo sapiens 81.6 NA NA 1.13 Human 122.5 high 70000 82.78
Homo sapiens 74 NA NA 1.377 Human 122.5 high 70000 82.78
Homo sapiens 50 NA NA 1.48 Human 122.5 high 70000 82.78
Homo sapiens 65.8 NA NA 1.31 Human 122.5 high 70000 82.78
Homo sapiens 74.8 NA NA 1.41 Human 122.5 high 70000 82.78
Homo sapiens 74.3 NA NA 1.36 Human 122.5 high 70000 82.78
Homo sapiens NA NA NA 1.3 Human 122.5 high 70000 82.78
Homo sapiens 57 NA NA 1.351 Human 122.5 high 70000 82.78
Homo sapiens 68 NA NA 1.411 Human 122.5 high 70000 82.78
Dasyprocta punctata 3.172 NA NA 0.01834 "Central American agouti" 13.8 acceptable NA NA
Dasyprocta punctata 3.627 NA NA 0.02185 "Central American agouti" 13.8 acceptable NA NA
Dasyprocta punctata 4.559 NA NA 0.048 "Central American agouti" 13.8 acceptable NA NA
Castor canadensis 4.18 NA NA 0.02548 "American beaver" 23.4 acceptable NA NA
Castor canadensis 5.83 NA NA 0.02952 "American beaver" 23.4 acceptable NA NA
Hydrochoerus isthmius 27.67 NA NA 0.05221 NA NA NA NA NA
Tamias striatus 0.075 NA NA 0.0016 "Eastern chipmunk" 9.5 acceptable 89.6 0.813
Tamias striatus NA NA NA 0.00222 "Eastern chipmunk" 9.5 acceptable 89.6 0.813
Tamias striatus NA NA NA 0.00173 "Eastern chipmunk" 9.5 acceptable 89.6 0.813
Thomomys sp. NA NA NA 0.00133 NA NA NA NA NA
Thomomys sp. NA NA NA 0.0012 NA NA NA NA NA
Cavia porcellus 0.351 NA NA 0.00363 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.361 NA NA 0.0041 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.324 NA NA 0.0038 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.21494 NA NA 0.00332 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.21457 NA NA 0.00328 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.432 NA NA 0.004 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.456 NA NA 0.00423 "Guinea pig" 12 high 639.1 2.13
Lepus capensis 2.93 NA NA 0.01023 "Cape hare" NA low NA NA
Lepus arcticus 1.901 NA NA 0.01436 NA NA NA NA NA
Lepus arcticus 2.64 NA NA 0.0139 NA NA NA NA NA
Lemmus trimucronatus 0.032 NA NA 0.001126 NA NA NA NA NA
Lemmus trimucronatus 0.048 NA NA 0.001312 NA NA NA NA NA
Dicrostonyx groenlandicus 0.0521 NA NA 8.983e-4 "Collared lemming" 3.3 acceptable 56.8 0.459
Dicrostonyx groenlandicus 0.0552 NA NA 8.447e-4 "Collared lemming" 3.3 acceptable 56.8 0.459
Mastomys coucha 0.0218 NA NA 7.132e-4 NA NA NA NA NA
Zapus hudsonicus 0.0193 NA NA 6.961e-4 NA NA NA NA NA
Zapus hudsonicus 0.0152 NA NA 5.22e-4 NA NA NA NA NA
Microtus drummondi 0.0237 NA NA 6.606e-4 NA NA NA NA NA
Microtus drummondi 0.0229 NA NA 6.464e-4 NA NA NA NA NA
Microtus drummondi 0.0325 NA NA 6.724e-4 NA NA NA NA NA
Microtus pennsylvanicus 0.0252 NA NA 7.166e-4 "Meadow vole" NA low 38.2 0.428
Microtus pennsylvanicus 0.0279 NA NA 7.394e-4 "Meadow vole" NA low 38.2 0.428
Microtus pennsylvanicus 0.0413 NA NA 7.635e-4 "Meadow vole" NA low 38.2 0.428
Peromyscus sp. 0.0122 NA NA 4.07e-4 NA NA NA NA NA
Peromyscus sp. 0.0184 NA NA 4.511e-4 NA NA NA NA NA
Peromyscus sp. 0.02 NA NA 4.43e-4 NA NA NA NA NA
Ondatra zibethicus 0.9 NA NA 0.00533 Muskrat NA low 976.3 4.363
Erethizon dorsatum 2.8 NA NA 0.03077 NA NA NA NA NA
Erethizon dorsatum 2.725 NA NA 0.02122 NA NA NA NA NA
Erethizon dorsatum 3.41 NA NA 0.01915 NA NA NA NA NA
Cynomys gunnisoni NA NA NA 0.0056 "Gunnison's prairie dog" NA low NA NA
Sylvilagus audubonii NA NA NA 0.00725 "Audubon's cottontail rabbit" 7.8 acceptable 686.9 2.506
Lepus sp. 3.68 NA NA 0.01059 NA NA NA NA NA
Lepus sp. 2.587 NA NA 0.01014 NA NA NA NA NA
Lepus californicus NA NA NA 0.012 "Black-tailed jackrabbit" 11.8 acceptable 2300 7.314
Sylvilagus gabbi 0.439 NA NA 0.0045 NA NA NA NA NA
Neotoma sp. NA NA NA 0.0022 NA NA NA NA NA
Neotoma sp. NA NA NA 0.00187 NA NA NA NA NA
Rattus norvegicus 0.197 NA NA 0.00161 "Norway rat" 3.8 acceptable 206.9 1.404
Rattus norvegicus 0.278 NA NA 0.0023 "Norway rat" 3.8 acceptable 206.9 1.404
Sciurus aberti NA NA NA 0.00625 "Abert's squirrel" NA low 624 2.402
Callospermophilus sp. NA NA NA 0.003 NA NA NA NA NA
Spermophilus tridecemlineatus NA NA NA 0.002 NA NA NA NA NA
Tamiasciurus hudsonicus 0.248 NA NA 0.00502 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus 0.183 NA NA 0.00471 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus 0.169 NA NA 0.00421 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus 0.183 NA NA 0.00397 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus 0.063 NA NA 0.00409 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus NA NA NA 0.0043 "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus NA NA NA 0.0044 "Red squirrel" 9.8 acceptable 219.6 1.615
Bison bison 54.88 NA NA 0.334 "American bison" 33.5 high NA NA
Syncerus caffer 750 NA NA 0.64 "African buffalo" 32.8 acceptable NA NA
Syncerus caffer 572 NA NA 0.642 "African buffalo" 32.8 acceptable NA NA
Syncerus caffer 759 NA NA 0.653 "African buffalo" 32.8 acceptable NA NA
Tragelaphus sylvaticus 35.38 NA NA 0.14 NA NA NA NA NA
Tragelaphus sylvaticus 53.07 NA NA 0.19 NA NA NA NA NA
Rangifer tarandus 71.7 NA NA 0.278 "Caribou and reindeer" 21.8 high 85000 119.66
Rangifer tarandus 128.47 NA NA 0.306 "Caribou and reindeer" 21.8 high 85000 119.66
Rangifer tarandus 62.14 NA NA 0.285 "Caribou and reindeer" 21.8 high 85000 119.66
Microtus nivalis 0.0333 0.7067 21.2222222222222 NA NA NA NA NA NA
Zapus hudsonius 0.03 0.25 8.33333333333333 NA "Meadow jumping mouse" 5.6 acceptable 26.1 0.219
Perognathus californicus 0.022 0.118555555555556 5.38888888888889 NA NA NA NA NA NA
Myopus schisticolor 0.0282 0.5546 19.6666666666667 NA "Wood lemming" NA low 26.4 0.522
Fukomys mechowi 0.267 0.89 3.33333333333333 NA NA NA NA NA NA
Microtus breweri 0.0531 0.409444444444444 7.71081816279556 NA NA NA NA NA NA
Microtus pennsylvanicus 0.0447 0.446666666666667 9.99254287844892 NA "Meadow vole" NA low 38.2 0.428
Octomys mimax 0.1186 0.639122222222222 5.38888888888889 NA NA NA NA NA NA
Tympanoctomys barrerae 0.0518 0.359722222222222 6.94444444444444 NA NA NA NA NA NA
Tympanoctomys barrerae 0.091 0.455 5 NA NA NA NA NA NA
Georychus capensis 0.1065 0.852 8 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1113 0.618333333333333 5.55555555555556 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1091 0.666722222222222 6.11111111111111 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1129 0.5645 5 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1121 0.647688888888889 5.77777777777778 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1186 0.751133333333333 6.33333333333333 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1192 0.768177777777778 6.44444444444444 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.1159 0.798422222222222 6.88888888888889 NA "Cape mole-rat" 11.2 questionable 193 0.637
Georychus capensis 0.28 2.38 8.5 NA "Cape mole-rat" 11.2 questionable 193 0.637
Gerbillus allenbyi 0.0353 0.215722222222222 6.11111111111111 NA NA NA NA NA NA
Gerbillus nanus 0.0284 0.123066666666667 4.33333333333333 NA "Baluchistan gerbil" 4.5 questionable 29.7 0.129
Cryptomys sp. 0.0819 0.5096 6.22222222222222 NA NA NA NA NA NA
Fukomys damarensis 0.124 0.392666666666667 3.16666666666667 NA NA NA NA NA NA
Aepyprymnus rufescens 2.82 5.9784 2.12 NA "Rufous 'rat'-kangaroo" 12.8 acceptable 2820 5.978
Eutamias "minimus borealis" 0.0493 0.5 10.1419878296146 NA NA NA NA NA NA
Eutamias "minimus oreocetes" 0.0458 0.444444444444444 9.70402717127608 NA NA NA NA NA NA
Eutamias "amoenus luteiventris" 0.0573 0.488888888888889 8.53209230172581 NA NA NA NA NA NA
Otospermophilus beecheyi 0.5996 1.76548888888889 2.94444444444445 NA NA NA NA NA NA
Erinaceus concolor 0.8227 1.92877444444444 2.34444444444444 NA "Eastern European hedgehog" 7 acceptable 822.7 1.937
Spalax ehrenbergi 0.104 0.595111111111111 5.72222222222222 NA "Palestine mole rat" 20.2 acceptable 133.8 0.585
Spalax ehrenbergi 0.128 0.611555555555556 4.77777777777778 NA "Palestine mole rat" 20.2 acceptable 133.8 0.585
Spalax ehrenbergi 0.117 0.5525 4.72222222222222 NA "Palestine mole rat" 20.2 acceptable 133.8 0.585
Spalax ehrenbergi 0.124 0.599333333333333 4.83333333333333 NA "Palestine mole rat" 20.2 acceptable 133.8 0.585
Spalax ehrenbergi 0.121 0.416777777777778 3.44444444444444 NA "Palestine mole rat" 20.2 acceptable 133.8 0.585
Rhinonicteris aurantia 0.00827 0.0900511111111111 10.8888888888889 NA NA NA NA NA NA
Miniopterus schreibersii 0.01091 0.144254444444444 13.2222222222222 NA "Schreibers's long-fingered bat" 22 acceptable 10.9 0.145
Miniopterus gigas 0.1072 0.524088888888889 4.88888888888889 NA NA NA NA NA NA
Elephantulus rozeti 0.04531 0.265566944444444 5.86111111111111 NA "North African elephant shrew" 7.2 acceptable 49 0.288
Elephantulus myurus 0.06297 0.3683745 5.85 NA NA NA NA NA NA
Macroderma gigas 0.15 0.783333333333333 5.22222222222222 NA "Australian false vampire bat" 22.6 acceptable 126 0.639
Perognathus longimembris 0.00823 0.0489227777777778 5.94444444444445 NA "Little pocket mouse" 8.3 acceptable 8.5 0.061
Perognathus hispidus 0.0395 0.274305555555556 6.94444444444444 NA NA NA NA NA NA
Tamias striatus 0.0874 0.500122222222222 5.72222222222222 NA "Eastern chipmunk" 9.5 acceptable 89.6 0.813
Cynomys ludovicianus 1.1123 2.36666666666667 2.12772333603045 NA "Black-tailed prairie dog" 11 high 1112.3 2.358
Tragulus javanicus 1.613 9.07760555555556 5.62777777777778 NA "Lesser mouse-deer" 14 acceptable 1615.5 4.883
Tragulus javanicus 1.613 8.95215 5.55 NA "Lesser mouse-deer" 14 acceptable 1615.5 4.883
Equus Asinus 105.5 210.648333333333 1.99666666666667 NA NA NA NA NA NA
Lama glama 115 147.2 1.28 NA Llama 28.9 high 115000 148.94
Madoqua kirkii 3.97 11.4688888888889 2.88888888888889 NA "Kirk's dik-dik" 17.3 acceptable 4290 11.966
Microtus oeconomus 0.032 0.56 17.5 NA "Tundra vole" NA low 32.8 0.566
Dicrostonyx groenlandicus 0.047 0.513333333333333 10.9219858156028 NA "Collared lemming" 3.3 acceptable 56.8 0.459
Lemmus trimucronatus 0.064 0.876666666666667 13.6979166666667 NA NA NA NA NA NA
Mustela rixosa 0.075 0.916666666666667 12.2222222222222 NA NA NA NA NA NA
Citellus undulatus 0.68 3.26666666666667 4.80392156862745 NA NA NA NA NA NA
Vulpes lagopus 3.6 7.63333333333333 2.12037037037037 NA "Arctic fox" 16.3 acceptable 3600 7.665
Ictidomys tridecemlineatus 0.2338 1.00534 4.3 NA "Thirteen-lined ground squirrel" 7.9 acceptable 198.4 0.983
Cricetomys gambianus 1.8709 6.34027222222222 3.38888888888889 NA "Gambian rat" 8.4 acceptable 1686.7 6.024
Abrothrix andinus 0.0346 0.35945555555555597 10.3888888888889 NA NA NA NA NA NA
Abrothrix longipilis 0.0423 0.3196 7.55555555555556 NA NA NA NA NA NA
Abrothrix olivaceus 0.027 0.2745 10.1666666666667 NA NA NA NA NA NA
Auliscomys boliviensis 0.0768 0.6144 8 NA NA NA NA NA NA
Auliscomys micropus 0.0623 0.543394444444444 8.72222222222222 NA NA NA NA NA NA
Eligmodontia typus 0.0175 0.16625 9.5 NA "Highland gerbil mouse" NA low 17.5 0.167
Oryzomys longicaudatus 0.0282 0.283566666666667 10.0555555555556 NA NA NA NA NA NA
Phyllotis darwini 0.059 0.396611111111111 6.72222222222222 NA "Darwin's leaf-eared mouse" NA low 47 0.333
Myotomys unisulcatus 0.096 0.592 6.16666666666667 NA NA NA NA NA NA
Parotomys brantsii 0.0865 0.466138888888889 5.38888888888889 NA NA NA NA NA NA
Peropteryx macrotis 0.0051 0.06545 12.8333333333333 NA NA NA NA NA NA
Natalus tumidirostris 0.0054 0.0462 8.55555555555556 NA NA NA NA NA NA
Mystromys albicaudatus 0.09378 0.704392 7.51111111111111 NA "White-tailed mouse" 6.3 acceptable 93.8 0.707
Peromyscus pirrensis 0.1277 0.681066666666667 5.33333333333333 NA NA NA NA NA NA
Peromyscus pirrensis 0.1743 0.823083333333333 4.72222222222222 NA NA NA NA NA NA
Peromyscus pirrensis 0.1397 0.62865 4.5 NA NA NA NA NA NA
Peromyscus pirrensis 0.1126 0.613044444444445 5.44444444444444 NA NA NA NA NA NA
Peromyscus pirrensis 0.1298 0.605733333333333 4.66666666666667 NA NA NA NA NA NA
Peromyscus pirrensis 0.1436 0.670133333333333 4.66666666666667 NA NA NA NA NA NA
Tamiasciurus hudsonicus 0.224 1.35644444444444 6.05555555555556 NA "Red squirrel" 9.8 acceptable 219.6 1.615
Tamiasciurus hudsonicus 0.231 1.45016666666667 6.27777777777778 NA "Red squirrel" 9.8 acceptable 219.6 1.615
Raphicerus campestris 9.55 20.4263888888889 2.13888888888889 NA Steenbok 9.3 acceptable 9600 20.619
Cephalophus monticola 4.15 9.91388888888889 2.38888888888889 NA NA NA NA NA NA
Tatera afra 0.1483 1.40885 9.5 NA NA NA NA NA NA
Macroscelides proboscideus 0.039 0.290333333333333 7.44444444444444 NA "Short-eared elephant shrew" 8.7 acceptable 39 0.292
Petrodromus tetradactylus 0.20611 0.997343388888889 4.83888888888889 NA "Four-toed elephant shrew" NA low 208 0.852
Elephantulus intufi 0.04649 0.288883694444445 6.21388888888889 NA "Long-eared elephant shrew" 9.3 acceptable 46.5 0.29
Elephantulus brachyrhynchus 0.0453 0.242833166666667 5.36055555555556 NA "Short-nosed elephant shrew" NA low 45.3 0.244
Geomys bursarius 0.197 0.766111111111111 3.88888888888889 NA "Plains pocket gopher" 12 acceptable 197 0.769
Ochrotomys nuttalli 0.0195 0.150583333333333 7.72222222222222 NA "Golden mouse" 8.4 acceptable 19.5 0.151
Herpestes auropunctatus 0.611 2.24033333333333 3.66666666666667 NA NA NA NA NA NA
Phyllotis rupestris 0.0555 0.3145 5.66666666666667 NA NA NA NA NA NA
Phyllotis magister 0.0628 0.401222222222222 6.38888888888889 NA NA NA NA NA NA
Phyllotis darwini 0.0762 0.474133333333333 6.22222222222222 NA "Darwin's leaf-eared mouse" NA low 47 0.333
Octodontomys gliroides 0.152 0.726222222222222 4.77777777777778 NA "Mountain degu" NA low 154.1 0.715
Octodon degus 0.206 1.06433333333333 5.16666666666667 NA Degu 14 acceptable 199.6 0.958
Trichomys apereoides 0.323 1.14844444444444 3.55555555555556 NA NA NA NA NA NA
Chinchilla lanigera 0.426 1.25433333333333 2.94444444444445 NA "Long-tailed chinchilla" 17.2 acceptable 436.7 1.31
Kerodon rupestris 0.801 1.8245 2.27777777777778 NA "Rock cavy" 12.9 acceptable 801 2.011
Myoprocta acouchy 0.914 2.79277777777778 3.05555555555556 NA "Red acouchi" 14.8 acceptable 914 2.804
Dolichotis salinicola 1.613 4.0325 2.5 NA NA NA NA NA NA
Dasyprocta leporina 2.687 8.65811111111111 3.22222222222222 NA Agouti 17.8 high 2687 8.694
Dasyprocta azarae 3.849 10.4778333333333 2.72222222222222 NA "Azara's agouti" 11.8 acceptable 3849 10.521
Agouti paca 9.156 15.26 1.66666666666667 NA NA NA NA NA NA
